,POP_2015,community_space,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
348,46.912,5000,3684,498,4070,8195.0,77.44582839824537,10.000070410328476
349,5.821,5000,2385,1242,2771,8195.0,77.45489363499189,10.000070410328476
350,0.0,5000,2385,1242,2771,8195.0,77.45590088351926,10.000070410328476
351,77.14,5000,1794,607,2180,8195.0,77.46093712615622,10.000070410328476
352,150.088,5000,1717,557,2103,8195.0,77.46194437468361,10.000070410328478
353,124.109,5000,1621,461,2007,8195.0,77.46295162321101,10.000070410328474
354,144.101,5000,1469,308,1855,8195.0,77.4639588717384,10.000070410328478
355,132.891,4981,1343,188,1729,8195.0,77.4649661202658,10.000070410328476
356,160.999,4885,1235,122,1621,8195.0,77.46597336879319,10.000070410328474
357,134.188,4763,1121,71,1499,8195.0,77.46698061732057,10.000070410328476
358,100.292,1131,2519,204,1487,8195.0,77.48813283639575,10.000070410328476
359,32.732,1148,2502,187,1470,8195.0,77.48914008492314,10.000070410328476
360,27.31,5000,3684,498,4070,8195.0,77.44470144953965,9.99925688821262
361,25.58,5000,3710,525,4096,8195.0,77.44570869651024,9.999256888212624
362,69.256,5000,1894,628,2280,8195.0,77.45981015409818,9.99925688821262
363,104.417,5000,1834,600,2220,8195.0,77.46081740106875,9.999256888212622
364,165.59,5000,1865,459,2249,8195.0,77.46182464803931,9.999256888212622
365,111.735,5000,1701,541,2087,8195.0,77.46283189500988,9.999256888212622
366,114.13,5000,1353,127,1738,8195.0,77.46484638895102,9.99925688821262
367,156.109,4930,1280,108,1665,8195.0,77.46585363592159,9.999256888212622
368,127.203,4899,1255,29,1635,8195.0,77.46686088289216,9.999256888212622
369,115.46,756,2893,0,1861,8195.0,77.48499132836237,9.99925688821262
370,104.916,1131,2519,204,1487,8195.0,77.48801306927407,9.999256888212624
371,122.413,1250,2604,290,1572,8195.0,77.48902031624462,9.999256888212622
372,0.067,5000,3736,551,4123,8195.0,77.44558900503036,9.998443366876003
373,77.772,5000,1894,628,2280,8195.0,77.45969044082467,9.998443366876003
374,109.672,5000,1890,604,2276,8195.0,77.46069768623855,9.998443366876
375,145.93,5000,1865,459,2249,8195.0,77.46170493165243,9.998443366876002
376,136.583,5000,1795,388,2178,8195.0,77.4627121770663,9.998443366876003
